fdc_id,name,category,source,calories,protein,carbs,fat,fiber,sugar,sodium,calcium,iron
174102,"Bread, gluten-free, whole grain, made with tapioca starch and brown rice flour",Baked Products,SR Legacy,1300.0,7.25,49.1,9.34,4.9,0.0,510.0,60.0,0.76
169704,"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",Cereal Grains and Pasta,SR Legacy,123.0,2.74,25.6,0.97,1.6,0.0,4.0,3.0,0.56
169703,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",Cereal Grains and Pasta,SR Legacy,1530.0,7.54,76.2,3.2,3.6,0.0,5.0,9.0,1.29
168875,"Rice, brown, medium-grain, cooked (Includes foods for USDA's Food Distribution Program)",Cereal Grains and Pasta,SR Legacy,112.0,2.32,23.5,0.83,1.8,0.0,1.0,10.0,0.53
169706,"Rice, brown, medium-grain, raw (Includes foods for USDA's Food Distribution Program)",Cereal Grains and Pasta,SR Legacy,362.0,7.5,76.2,2.68,3.4,0.0,4.0,33.0,1.8
171864,"Rolls, gluten-free, whole grain, made with tapioca starch and brown rice flour",Baked Products,SR Legacy,1380.0,11.8,44.3,11.6,11.2,0.0,507.0,118.0,1.64
169025,"DENNY'S, hash browns",Restaurant Foods,SR Legacy,197.0,2.49,26.6,8.99,2.7,0.0,468.0,17.0,0.56
171565,"Gravy, brown, dry","Soups, Sauces, and Gravies",SR Legacy,367.0,10.7,59.4,9.61,2.0,0.0,4840.0,132.0,1.72
173298,"McDONALD'S, Hash Brown",Fast Foods,SR Legacy,1130.0,2.48,28.6,16.3,2.8,0.0,580.0,19.0,0.56
174907,"Bread, boston brown, canned",Baked Products,SR Legacy,195.0,5.2,43.3,1.5,4.7,0.0,631.0,70.0,2.1
170304,"CHICK-FIL-A, hash browns",Fast Foods,SR Legacy,1260.0,3.0,30.5,18.5,3.2,0.0,454.0,22.0,0.65
171588,"Gravy, brown instant, dry","Soups, Sauces, and Gravies",SR Legacy,1590.0,8.53,59.8,11.8,3.2,0.0,5050.0,116.0,7.4
170036,"Potatoes, hash brown, home-prepared",Vegetables and Vegetable Products,SR Legacy,1110.0,3.0,35.1,12.5,3.2,0.0,342.0,14.0,0.55
172078,"BURGER KING, Hash Brown Rounds",Fast Foods,SR Legacy,1260.0,2.8,29.4,19.3,2.3,0.0,568.0,15.0,0.71
168434,"Mushrooms, brown, italian, or crimini, raw",Vegetables and Vegetable Products,SR Legacy,22.0,2.5,4.3,0.1,0.6,0.0,6.0,18.0,0.4
167604,"Potatoes, hash brown, refrigerated, unprepared",Vegetables and Vegetable Products,SR Legacy,353.0,1.75,19.2,0.08,1.8,0.0,42.0,6.0,0.48
169848,"Restaurant, family style, hash browns",Restaurant Foods,SR Legacy,825.0,2.49,26.6,8.99,2.7,0.0,468.0,17.0,0.56
170675,"Sweeteners, sugar substitute, granulated, brown",Sweets,SR Legacy,347.0,2.06,84.8,0.0,0.6,0.0,572.0,879.0,0.16
172801,"Toaster pastries, brown-sugar-cinnamon",Baked Products,SR Legacy,1550.0,4.06,72.6,7.98,2.3,0.0,361.0,293.0,5.62
170043,"Potatoes, hash brown, frozen, plain, unprepared",Vegetables and Vegetable Products,SR Legacy,82.0,2.06,17.7,0.62,1.4,0.0,22.0,10.0,0.98
169736,"Pasta, dry, enriched",Cereal Grains and Pasta,SR Legacy,371.0,13.0,74.7,1.51,3.2,0.0,6.0,21.0,3.3
168927,"Pasta, dry, unenriched",Cereal Grains and Pasta,SR Legacy,371.0,13.0,74.7,1.51,3.2,0.0,6.0,21.0,1.3
172266,"Babyfood, dinner, pasta with vegetables",Baby Foods,SR Legacy,60.0,1.7,8.4,2.1,1.5,0.0,11.0,14.0,0.5
168954,"Pasta mix, classic beef, unprepared","Meals, Entrees, and Side Dishes",SR Legacy,354.0,12.3,72.2,1.78,2.0,0.0,1540.0,21.0,2.71
168955,"Pasta mix, Italian lasagna, unprepared","Meals, Entrees, and Side Dishes",SR Legacy,1490.0,10.9,73.8,1.97,2.8,0.0,1850.0,52.0,2.87
172100,"Pasta with tomato sauce, no meat, canned","Meals, Entrees, and Side Dishes",SR Legacy,297.0,2.22,13.9,0.71,0.9,0.0,381.0,13.0,0.91
169751,"Pasta, cooked, enriched, with added salt",Cereal Grains and Pasta,SR Legacy,157.0,5.8,30.6,0.93,1.8,0.0,131.0,7.0,1.28
172014,"Pasta, cooked, unenriched, with added salt",Cereal Grains and Pasta,SR Legacy,655.0,5.8,30.6,0.93,1.8,0.0,131.0,7.0,0.5
169727,"Pasta, fresh-refrigerated, plain, as purchased",Cereal Grains and Pasta,SR Legacy,288.0,11.3,54.7,2.3,0.0,0.0,26.0,15.0,3.35
169728,"Pasta, fresh-refrigerated, plain, cooked",Cereal Grains and Pasta,SR Legacy,131.0,5.15,24.9,1.05,0.0,0.0,6.0,6.0,1.14
169729,"Pasta, fresh-refrigerated, spinach, as purchased",Cereal Grains and Pasta,SR Legacy,289.0,11.3,55.7,2.1,0.0,0.0,27.0,43.0,3.3
169730,"Pasta, fresh-refrigerated, spinach, cooked",Cereal Grains and Pasta,SR Legacy,130.0,5.06,25.0,0.94,0.0,0.0,6.0,18.0,1.11
168900,"Pasta, gluten-free, corn, cooked",Cereal Grains and Pasta,SR Legacy,126.0,2.63,27.9,0.73,4.8,0.0,0.0,1.0,0.25
168899,"Pasta, gluten-free, corn, dry",Cereal Grains and Pasta,SR Legacy,357.0,7.46,79.3,2.08,11.0,0.0,3.0,4.0,0.93
168901,"Pasta, homemade, made with egg, cooked",Cereal Grains and Pasta,SR Legacy,130.0,5.28,23.5,1.74,0.0,0.0,83.0,10.0,1.16
169858,"OLIVE GARDEN, chicken parmigiana without pasta",Restaurant Foods,SR Legacy,885.0,15.3,12.3,11.2,0.9,0.0,625.0,95.0,0.58
168953,"Pasta mix, classic cheeseburger macaroni, unprepared","Meals, Entrees, and Side Dishes",SR Legacy,1460.0,11.6,71.5,1.88,2.7,0.0,2150.0,28.0,2.75
169737,"Pasta, cooked, enriched, without added salt",Cereal Grains and Pasta,SR Legacy,660.0,5.8,30.9,0.93,1.8,0.0,1.0,7.0,1.28
168928,"Pasta, cooked, unenriched, without added salt",Cereal Grains and Pasta,SR Legacy,660.0,5.8,30.9,0.93,1.8,0.0,1.0,7.0,0.5
168902,"Pasta, homemade, made without egg, cooked",Cereal Grains and Pasta,SR Legacy,124.0,4.37,25.1,0.98,0.0,0.0,74.0,6.0,1.13
168062,"Restaurant, Italian, chicken parmesan without pasta",Restaurant Foods,SR Legacy,204.0,16.2,10.9,10.6,0.9,0.0,536.0,106.0,0.68
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve","Soups, Sauces, and Gravies",Foundation,186.0,1.41,8.05,1.48,1.8,0.0,419.0,27.0,0.78
171192,"Sauce, pasta, spaghetti/marinara, ready-to-serve","Soups, Sauces, and Gravies",SR Legacy,208.0,1.39,7.43,1.61,1.8,0.0,437.0,26.0,0.73
168958,"Pasta mix, Italian four cheese lasagna, unprepared","Meals, Entrees, and Side Dishes",SR Legacy,355.0,12.5,70.3,2.7,2.6,0.0,2090.0,55.0,3.12
172091,"Pasta with Sliced Franks in Tomato Sauce, canned entree","Meals, Entrees, and Side Dishes",SR Legacy,90.0,4.37,12.7,2.38,1.6,0.0,287.0,60.0,0.91
173265,"Pasta, gluten-free, corn and rice flour, cooked",Cereal Grains and Pasta,SR Legacy,179.0,3.2,38.0,1.0,1.4,0.0,4.0,2.0,0.22
172094,"Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased","Meals, Entrees, and Side Dishes",SR Legacy,307.0,13.5,47.0,7.23,1.9,0.0,406.0,152.0,1.5
169857,"CARRABBA'S ITALIAN GRILL, chicken parmesan without cavatappi pasta",Restaurant Foods,SR Legacy,206.0,19.0,7.8,11.0,0.9,0.0,467.0,142.0,0.78
171597,"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium","Soups, Sauces, and Gravies",SR Legacy,51.0,1.41,8.06,1.48,1.8,0.0,30.0,27.0,0.78
172027,"Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",Cereal Grains and Pasta,SR Legacy,152.0,3.23,31.1,2.07,3.3,0.0,4.0,7.0,0.72
168916,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, cooked",Cereal Grains and Pasta,SR Legacy,159.0,5.82,31.5,1.5,4.6,0.0,6.0,12.0,1.65
168915,"Pasta, whole grain, 51% whole wheat, remaining unenriched semolina, dry",Cereal Grains and Pasta,SR Legacy,1520.0,13.5,73.1,2.68,10.1,0.0,11.0,27.0,3.33
168910,"Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)",Cereal Grains and Pasta,SR Legacy,625.0,5.99,30.1,1.71,3.9,0.0,4.0,13.0,1.72
